FPDS_legal_business_name,SBIR_company,FPDS_city,FPDS_state,SBIR_city,SBIR_state,fuzz_score,search_keyword
"SABEL SYSTEMS TECHNOLOGY SOLUTIONS, LLC","SABEL SYSTEMS TECHNOLOGY SOLUTIONS, LLC",GAINESVILLE,VA,Gainesville,VA,100,"SABEL SYSTEMS TECHNOLOGY SOLUTIONS, LLC"
"GENEVA TECHNOLOGIES, INC.","GENEVA TECHNOLOGIES, INC.",MONUMENT,CO,Monument,CO,100,"GENEVA TECHNOLOGIES, INC."
"APTIMA, INC.",APTIMA INC,WOBURN,MA,Woburn,MA,100,APTIMA INC
"PROPEL, LLC",PROPEL LLC,PAWTUCKET,RI,Pawtucket,RI,100,PROPEL LLC
"TENET 3, LLC","Tenet 3, LLC",DAYTON,OH,Dayton,OH,100,"Tenet 3, LLC"
"LEARNTOWIN, INC.","Learntowin, Inc.",NASHVILLE,TN,Nashville,TN,100,"Learntowin, Inc."
"SECURBORATION, INC.",SECURBORATION INC,MELBOURNE,FL,Melbourne,FL,100,SECURBORATION INC
SEHLKE CONSULTING LLC,SEHLKE CONSULTING LLC,VIENNA,VA,Arlington,VA,100,SEHLKE CONSULTING LLC
ANSOL INC.,ANSOL INC,SAN DIEGO,CA,San Diego,CA,100,ANSOL INC
"ORBIS SIBRO, INC.",ORBIS SIBRO INC,CHARLESTON,SC,Mt Pleasant,SC,100,ORBIS SIBRO INC
RESOLUTION IMAGERY LLC,Resolution Imagery LLC,COLORADO SPRINGS,CO,Colorado Springs,CO,100,Resolution Imagery LLC
RESOLUTION IMAGERY LLC,Resolution Imagery LLC,COLORADO SPRINGS,CO,Colorado Springs,CO,100,Resolution Imagery LLC
RESOLUTION IMAGERY LLC,Resolution Imagery LLC,BROOKLYN,NY,Colorado Springs,CO,100,Resolution Imagery LLC
RESOLUTION IMAGERY LLC,Resolution Imagery LLC,BROOKLYN,NY,Colorado Springs,CO,100,Resolution Imagery LLC
"REVACOMM, INC.",REVACOMM INC,HONOLULU,HI,Honolulu,HI,100,REVACOMM INC
"TORTUGA LOGIC, INC.","Tortuga Logic, Inc.",SAN JOSE,CA,San Jose,CA,100,"Tortuga Logic, Inc."
HEUREKA CORPORATION,Heureka Corporation,HACIENDA HEIGHTS,CA,Boulder,CO,100,Heureka Corporation
"G2 OPS, INC.","G2 Ops, Inc.",VIRGINIA BEACH,VA,Virginia Beach,VA,100,"G2 Ops, Inc."
"STARTUP COMMUNITY, INC","Startup Community, Inc",KENNEBUNKPORT,ME,Las Vegas,NV,100,"Startup Community, Inc"
"VRC METAL SYSTEMS, LLC","VRC Metal Systems, LLC",BOX ELDER,SD,Box Elder,SD,100,"VRC Metal Systems, LLC"
"VRC METAL SYSTEMS, LLC","VRC Metal Systems, LLC",BOX ELDER,SD,Box Elder,SD,100,"VRC Metal Systems, LLC"
"VRC METAL SYSTEMS, LLC","VRC Metal Systems, LLC",RAPID CITY,SD,Box Elder,SD,100,"VRC Metal Systems, LLC"
"VRC METAL SYSTEMS, LLC","VRC Metal Systems, LLC",RAPID CITY,SD,Box Elder,SD,100,"VRC Metal Systems, LLC"
"SEV1TECH, LLC","SEV1TECH, LLC",WOODBRIDGE,VA,Metairie,LA,100,"SEV1TECH, LLC"
"GALOIS, INC.","GALOIS, INC.",PORTLAND,OR,Portland,OR,100,"GALOIS, INC."
SOLUTE,Solute,SAN DIEGO,CA,San Diego,CA,100,Solute
"GALVANIZE, INC.",GALVANIZE INC.,DENVER,CO,Denver,CO,100,GALVANIZE INC.
"VOLT ATHLETICS, INC.","Volt Athletics, Inc.",SEATTLE,WA,Fremont,WA,100,"Volt Athletics, Inc."
TRANSTECS CORPORATION,Transtecs Corporation,WICHITA,KS,Wichita,KS,100,Transtecs Corporation
"PACIFIC SCIENCE & ENGINEERING GROUP, INC.","PACIFIC SCIENCE & ENGINEERING GROUP, INC.",SAN DIEGO,CA,San Diego,CA,100,"PACIFIC SCIENCE & ENGINEERING GROUP, INC."
"EDAPTIVE COMPUTING, INC.",EDAPTIVE COMPUTING INC,DAYTON,OH,Dayton,OH,100,EDAPTIVE COMPUTING INC
MILE TWO LLC,Mile Two LLC,DAYTON,OH,Dayton,OH,100,Mile Two LLC
"FORGE GROUP, LLC","Forge Group, LLC",HERNDON,VA,Herndon,VA,100,"Forge Group, LLC"
"ILLUMINATION WORKS, LLC","Illumination Works, LLC",BEAVERCREEK,OH,Beavercreek,OH,100,"Illumination Works, LLC"
WANDR STUDIO LLC,WANDR STUDIO LLC,LOS ANGELES,CA,Los Angeles,CA,100,WANDR STUDIO LLC
PUBLIC SPEND FORUM LLC,"Public Spend Forum, LLC",WASHINGTON,DC,Washington,DC,100,"Public Spend Forum, LLC"
"PUBLIC SPEND FORUM, LLC","Public Spend Forum, LLC",WASHINGTON,DC,Washington,DC,100,"Public Spend Forum, LLC"
REI SYSTEMS INC,"REI SYSTEMS, INC.",CHANTILLY,VA,Mclean,VA,100,"REI SYSTEMS, INC."
"REI SYSTEMS, INC.","REI SYSTEMS, INC.",CHANTILLY,VA,Mclean,VA,100,"REI SYSTEMS, INC."
"PULSAR INFORMATICS, INC.","Pulsar Informatics, Inc.",PHILADELPHIA,PA,Seattle,WA,100,"Pulsar Informatics, Inc."
VISIOSTACK INC.,VisioStack Inc.,GREENVILLE,SC,Greenville,SC,100,VisioStack Inc.
MTRI INC,"MTRI, Inc.",ANN ARBOR,MI,Ann Arbor,MI,100,"MTRI, Inc."
"ANDURIL INDUSTRIES, INC.",ANDURIL INDUSTRIES INC,IRVINE,CA,Irvine,CA,100,ANDURIL INDUSTRIES INC
"TIS3, LLC","TIS3, LLC",HAYMARKET,VA,Haymarket,VA,100,"TIS3, LLC"
"ORBITAL INSIGHT, INC.","Orbital Insight, Inc.",PALO ALTO,CA,Palo Alto,CA,100,"Orbital Insight, Inc."
"SOMEWEAR LABS, INC.","Somewear Labs, Inc.",SAN FRANCISCO,CA,San Francisco,CA,100,"Somewear Labs, Inc."
"SAYARI ANALYTICS, LLC","Sayari Analytics, LLC",WASHINGTON,DC,Washington,DC,100,"Sayari Analytics, LLC"
"SILVUS TECHNOLOGIES, INC.","Silvus Technologies, Inc. ",LOS ANGELES,CA,Los Angeles,CA,100,"Silvus Technologies, Inc. "
MICHIGAN ENGINEERING SERVICES LLC,MICHIGAN ENGINEERING SERVICES LLC,ANN ARBOR,MI,Ann Arbor,MI,100,MICHIGAN ENGINEERING SERVICES LLC
MOD9 TECHNOLOGIES,Mod9 Technologies,BERKELEY,CA,BERKELEY,CA,100,Mod9 Technologies
"BLUERISC, INC.",BLUERISC INC,AMHERST,MA,Amherst,MA,100,BLUERISC INC
"INTELLISENSE SYSTEMS, INC.",INTELLISENSE SYSTEMS INC,TORRANCE,CA,Torrance,CA,100,INTELLISENSE SYSTEMS INC
"PHELPS2020, INC.","PHELPS2020, INC",KNOXVILLE,TN,Knoxville,TN,100,"PHELPS2020, INC"
CALYPSO AI CORP,Calypso AI Corp,SAN MATEO,CA,Richmond,VA,100,Calypso AI Corp
"RJ LEE GROUP, INC.",RJ LEE GROUP INC,MONROEVILLE,PA,Monroeville,PA,100,RJ LEE GROUP INC
"IDSS HOLDINGS, INC.","IDSS Holdings, Inc.",BOXBORO,MA,Armonk,NY,100,"IDSS Holdings, Inc."
